Ref,Val,Package,PosX,PosY,Rot,Side
"R162","20K","R_0603_1608Metric",-119.750000,-101.200000,180.000000,bottom
"R163","20K","R_0603_1608Metric",-119.650000,-122.900000,180.000000,bottom
"R164","20K","R_0603_1608Metric",-133.050000,-134.800000,-90.000000,bottom
"R165","1K","R_0603_1608Metric",-114.300000,-101.200000,180.000000,bottom
"R166","1K","R_0603_1608Metric",-114.450000,-123.550000,180.000000,bottom
"R167","1K","R_0603_1608Metric",-133.050000,-137.875000,-90.000000,bottom
"R168","1K","R_0603_1608Metric",-116.600000,-101.500000,90.000000,bottom
"R169","1K","R_0603_1608Metric",-116.800000,-123.650000,90.000000,bottom
"R170","1K","R_0603_1608Metric",-133.500000,-140.150000,0.000000,bottom
"R171","4.7K","R_0603_1608Metric",-123.050000,-101.850000,90.000000,bottom
"R172","4.7K","R_0603_1608Metric",-123.100000,-124.250000,90.000000,bottom
"R173","4.7K","R_0603_1608Metric",-132.800000,-142.650000,90.000000,bottom
"R174","732K","R_0603_1608Metric",-79.900000,-67.400000,180.000000,bottom
"R175","732K","R_0603_1608Metric",-79.900000,-89.100000,180.000000,bottom
"R176","732K","R_0603_1608Metric",-77.900000,-101.450000,180.000000,bottom
"R177","732K","R_0603_1608Metric",-96.550000,-135.200000,90.000000,bottom
"R178","100K","R_0603_1608Metric",-78.500000,-94.000000,180.000000,bottom
"R179","100K","R_0603_1608Metric",-77.900000,-106.150000,0.000000,bottom
"R180","100K","R_0603_1608Metric",-102.550000,-131.950000,-90.000000,bottom
"R181","100K","R_0603_1608Metric",-80.250000,-70.500000,180.000000,bottom
"R182","4.99M","R_0603_1608Metric",-79.700000,-65.100000,-90.000000,bottom
"R183","4.99M","R_0603_1608Metric",-80.300000,-87.450000,0.000000,bottom
"R184","4.99M","R_0603_1608Metric",-77.900000,-103.000000,180.000000,bottom
"R185","4.99M","R_0603_1608Metric",-96.500000,-131.950000,-90.000000,bottom
"R186","1.8M","R_0603_1608Metric",-73.575000,-89.750000,180.000000,bottom
"R187","1.8M","R_0603_1608Metric",-77.900000,-104.600000,180.000000,bottom
"R188","1.8M","R_0603_1608Metric",-101.450000,-135.300000,-90.000000,bottom
"R189","1.8M","R_0603_1608Metric",-79.900000,-68.950000,0.000000,bottom
"R190","100K","R_0603_1608Metric",-57.900000,-58.850000,180.000000,bottom
"R191","33.2K","R_0603_1608Metric",-107.400000,-61.650000,-90.000000,bottom
"R192","4.87K","R_0603_1608Metric",-103.200000,-63.750000,180.000000,bottom
"R193","10K","R_0603_1608Metric",-112.875000,-63.750000,180.000000,bottom
"R194","4.02K","R_0603_1608Metric",-113.700000,-66.050000,-90.000000,bottom
"R195","10K","R_0603_1608Metric",-110.300000,-61.300000,90.000000,bottom
"R196","33.2K","R_0603_1608Metric",-75.600000,-107.200000,-90.000000,bottom
"R197","4.87K","R_0603_1608Metric",-77.150000,-109.550000,0.000000,bottom
"R198","10K","R_0603_1608Metric",-73.850000,-116.350000,180.000000,bottom
"R199","4.02K","R_0603_1608Metric",-81.100000,-116.800000,-90.000000,bottom
"R200","10K","R_0603_1608Metric",-76.900000,-116.950000,180.000000,bottom
"R201","33.2K","R_0603_1608Metric",-80.750000,-81.200000,180.000000,bottom
"R202","33.2K","R_0603_1608Metric",-78.950000,-127.900000,90.000000,bottom
"R203","4.87K","R_0603_1608Metric",-76.300000,-84.300000,0.000000,bottom
"R204","4.87K","R_0603_1608Metric",-74.600000,-125.300000,-90.000000,bottom
"R205","10K","R_0603_1608Metric",-80.750000,-78.100000,0.000000,bottom
"R206","4.02K","R_0603_1608Metric",-80.750000,-79.650000,0.000000,bottom
"R207","10K","R_0603_1608Metric",-80.175000,-122.600000,0.000000,bottom
"R208","4.02K","R_0603_1608Metric",-80.200000,-121.050000,0.000000,bottom
"R209","10K","R_0603_1608Metric",-75.100000,-78.950000,90.000000,bottom
"R210","10K","R_0603_1608Metric",-77.100000,-119.700000,0.000000,bottom
"RV2","50K","Potentiometer_Bourns_3224W_Vertical",-42.950000,-84.275000,180.000000,bottom
"RV3","50K","Potentiometer_Bourns_3224W_Vertical",-42.975000,-62.925000,180.000000,bottom
"RV4","50K","Potentiometer_Bourns_3224W_Vertical",-42.950000,-106.300000,180.000000,bottom
"RV5","50K","Potentiometer_Bourns_3224W_Vertical",-42.950000,-128.150000,180.000000,bottom
"RV6","50K","Potentiometer_Bourns_3224W_Vertical",-83.400000,-64.100000,180.000000,bottom
"RV7","50K","Potentiometer_Bourns_3224W_Vertical",-83.050000,-112.700000,180.000000,bottom
"RV8","50K","Potentiometer_Bourns_3224W_Vertical",-82.950000,-92.600000,180.000000,bottom
"RV9","50K","Potentiometer_Bourns_3224W_Vertical",-83.100000,-139.150000,180.000000,bottom
"RV12","1K","Potentiometer_Bourns_3224W_Vertical",-105.800000,-119.500000,180.000000,bottom
"RV13","1K","Potentiometer_Bourns_3224W_Vertical",-97.675000,-84.500000,0.000000,bottom
"RV16","1K","Potentiometer_Bourns_3224W_Vertical",-106.250000,-141.000000,180.000000,bottom
"RV17","1K","Potentiometer_Bourns_3224W_Vertical",-99.550000,-107.400000,0.000000,bottom
"TP1","TestPoint","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",-135.170000,-146.950000,180.000000,bottom
"TP2","TestPoint","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",-45.280000,-146.950000,180.000000,bottom
"TP3","TestPoint","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",-52.550000,-43.050000,180.000000,bottom
"TP4","TestPoint","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",-139.000000,-42.200000,180.000000,bottom
"TP5","TestPoint","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",-138.500000,-81.650000,180.000000,bottom
"TP6","TestPoint","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",-138.500000,-60.300000,180.000000,bottom
"TP7","TestPoint","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",-138.500000,-103.350000,180.000000,bottom
"U1","TL072CP","SOIC-8_3.9x4.9mm_P1.27mm",-127.100000,-59.800000,180.000000,bottom
"U2","AMS1117-5.0","SOT-223-3_TabPin2",-71.300000,-45.200000,180.000000,bottom
"U3","TL072CP","SOIC-8_3.9x4.9mm_P1.27mm",-60.925000,-49.175000,180.000000,bottom
"U4","LM317_SOT-223","SOT-223-3_TabPin2",-63.125000,-57.025000,-90.000000,bottom
"U5","TL072CP","SOIC-8_3.9x4.9mm_P1.27mm",-127.100000,-52.900000,180.000000,bottom
"U6","CD4046","TSSOP-16_4.4x5mm_P0.65mm",-49.600000,-80.400000,180.000000,bottom
"U7","CD4046","TSSOP-16_4.4x5mm_P0.65mm",-49.600000,-60.525000,180.000000,bottom
"U8","CD4046","TSSOP-16_4.4x5mm_P0.65mm",-49.600000,-102.325000,180.000000,bottom
"U9","CD4017","SOIC-16_3.9x9.9mm_P1.27mm",-62.000000,-92.500000,180.000000,bottom
"U10","CD4017","SOIC-16_3.9x9.9mm_P1.27mm",-62.000000,-70.500000,180.000000,bottom
"U11","CD4017","SOIC-16_3.9x9.9mm_P1.27mm",-62.000000,-114.500000,180.000000,bottom
"U12","CD4013","SOIC-14_3.9x8.7mm_P1.27mm",-69.400000,-81.000000,-90.000000,bottom
"U13","CD4013","SOIC-14_3.9x8.7mm_P1.27mm",-69.000000,-125.000000,90.000000,bottom
"U14","CD4046","TSSOP-16_4.4x5mm_P0.65mm",-49.600000,-124.175000,180.000000,bottom
"U15","CD4017","SOIC-16_3.9x9.9mm_P1.27mm",-62.000000,-136.500000,180.000000,bottom
"U16","CD40107","SOIC-8_3.9x4.9mm_P1.27mm",-132.000000,-124.650000,180.000000,bottom
"U17","CD40107","SOIC-8_3.9x4.9mm_P1.27mm",-132.000000,-81.400000,180.000000,bottom
"U18","CD4046","TSSOP-16_4.4x5mm_P0.65mm",-90.000000,-59.000000,180.000000,bottom
"U19","CD4046","TSSOP-16_4.4x5mm_P0.65mm",-90.000000,-107.000000,180.000000,bottom
"U20","CD4017","SOIC-16_3.9x9.9mm_P1.27mm",-90.000000,-69.000000,180.000000,bottom
"U21","CD4017","SOIC-16_3.9x9.9mm_P1.27mm",-90.000000,-117.000000,180.000000,bottom
"U22","TL072CP","SOIC-8_3.9x4.9mm_P1.27mm",-90.000000,-79.000000,180.000000,bottom
"U23","TL072CP","SOIC-8_3.9x4.9mm_P1.27mm",-90.000000,-127.000000,180.000000,bottom
"U24","CD4046","TSSOP-16_4.4x5mm_P0.65mm",-90.000000,-87.000000,180.000000,bottom
"U25","CD4046","TSSOP-16_4.4x5mm_P0.65mm",-90.000000,-134.000000,180.000000,bottom
"U26","CD4017","SOIC-16_3.9x9.9mm_P1.27mm",-90.000000,-97.000000,180.000000,bottom
"U27","CD4017","SOIC-16_3.9x9.9mm_P1.27mm",-90.000000,-144.000000,180.000000,bottom
"U28","TL072CP","SOIC-8_3.9x4.9mm_P1.27mm",-102.000000,-125.000000,180.000000,bottom
"U29","TL072CP","SOIC-8_3.9x4.9mm_P1.27mm",-102.000000,-79.000000,180.000000,bottom
"U32","TL072CP","SOIC-8_3.9x4.9mm_P1.27mm",-102.000000,-146.425000,180.000000,bottom
